SaleID,CustomerID,ProductID,SaleDate,Quantity,TotalAmount,PaymentMethod,Discount,SalespersonID,StoreLocation,CreatedAt
32,132,232,2023-02-01 11:00:00,5,150.00,Cash,10.00,2,Virginia Beach,2023-02-01 10:00:00
33,133,233,2023-02-02 12:00:00,2,50.00,Credit Card,5.00,1,Atlanta,2023-02-02 11:00:00
34,134,234,2023-02-03 13:00:00,1,25.00,Cash,0.00,3,Colorado Springs,2023-02-03 12:00:00
35,135,235,2023-02-04 14:00:00,3,90.00,Credit Card,10.00,2,Omaha,2023-02-04 13:00:00
36,136,236,2023-02-05 15:00:00,4,120.00,Cash,15.00,1,Raleigh,2023-02-05 14:00:00
37,137,237,2023-02-06 16:00:00,6,180.00,Credit Card,20.00,3,Miami,2023-02-06 15:00:00
38,138,238,2023-02-07 17:00:00,2,60.00,Cash,5.00,2,Virginia Beach,2023-02-07 16:00:00
39,139,239,2023-02-08 18:00:00,3,90.00,Credit Card,10.00,1,Atlanta,2023-02-08 17:00:00
40,140,240,2023-02-09 19:00:00,1,30.00,Cash,0.00,3,Colorado Springs,2023-02-09 18:00:00
41,141,241,2023-02-10 20:00:00,4,120.00,Credit Card,15.00,2,Omaha,2023-02-10 19:00:00
42,142,242,2023-02-11 21:00:00,5,150.00,Cash,10.00,1,Raleigh,2023-02-11 20:00:00
43,143,243,2023-02-12 22:00:00,2,50.00,Credit Card,5.00,3,Miami,2023-02-12 21:00:00
44,144,244,2023-02-13 08:00:00,1,25.00,Cash,0.00,2,Virginia Beach,2023-02-13 07:00:00
45,145,245,2023-02-14 09:00:00,3,90.00,Credit Card,10.00,1,Atlanta,2023-02-14 08:00:00
46,146,246,2023-02-15 10:00:00,4,120.00,Cash,15.00,3,Colorado Springs,2023-02-15 09:00:00
47,147,247,2023-02-16 11:00:00,6,180.00,Credit Card,20.00,2,Omaha,2023-02-16 10:00:00
48,148,248,2023-02-17 12:00:00,2,60.00,Cash,5.00,1,Raleigh,2023-02-17 11:00:00
49,149,249,2023-02-18 13:00:00,3,90.00,Credit Card,10.00,3,Miami,2023-02-18 12:00:00
50,150,250,2023-02-19 14:00:00,1,30.00,Cash,0.00,2,Virginia Beach,2023-02-19 13:00:00
51,151,201,2023-02-20 15:00:00,4,120.00,Credit Card,15.00,1,Atlanta,2023-02-20 14:00:00
52,152,202,2023-02-21 16:00:00,5,150.00,Cash,10.00,3,Colorado Springs,2023-02-21 15:00:00
53,153,203,2023-02-22 17:00:00,2,50.00,Credit Card,5.00,2,Omaha,2023-02-22 16:00:00
54,154,204,2023-02-23 18:00:00,1,25.00,Cash,0.00,1,Raleigh,2023-02-23 17:00:00
55,155,205,2023-02-24 19:00:00,3,90.00,Credit Card,10.00,3,Miami,2023-02-24 18:00:00
56,156,206,2023-02-25 20:00:00,4,120.00,Cash,15.00,2,Virginia Beach,2023-02-25 19:00:00
57,157,207,2023-02-26 21:00:00,6,180.00,Credit Card,20.00,1,Atlanta,2023-02-26 20:00:00
58,158,208,2023-02-27 22:00:00,2,60.00,Cash,5.00,3,Colorado Springs,2023-02-27 21:00:00
59,159,209,2023-02-28 08:00:00,3,90.00,Credit Card,10.00,2,Omaha,2023-02-28 07:00:00
60,160,210,2023-03-01 09:00:00,1,30.00,Cash,0.00,1,Raleigh,2023-03-01 08:00:00
61,161,211,2023-03-02 10:00:00,4,120.00,Credit Card,15.00,3,Miami,2023-03-02 09:00:00
62,162,212,2023-03-03 11:00:00,5,150.00,Cash,10.00,2,Virginia Beach,2023-03-03 10:00:00
63,163,213,2023-03-04 12:00:00,2,50.00,Credit Card,5.00,1,Atlanta,2023-03-04 11:00:00
64,164,214,2023-03-05 13:00:00,1,25.00,Cash,0.00,3,Colorado Springs,2023-03-05 12:00:00
65,165,215,2023-03-06 14:00:00,3,90.00,Credit Card,10.00,2,Omaha,2023-03-06 13:00:00
66,166,216,2023-03-07 15:00:00,4,120.00,Cash,15.00,1,Raleigh,2023-03-07 14:00:00
67,167,217,2023-03-08 16:00:00,6,180.00,Credit Card,20.00,3,Miami,2023-03-08 15:00:00
68,168,218,2023-03-09 17:00:00,2,60.00,Cash,5.00,2,Virginia Beach,2023-03-09 16:00:00
69,169,219,2023-03-10 18:00:00,3,90.00,Credit Card,10.00,1,Atlanta,2023-03-10 17:00:00
70,170,220,2023-03-11 19:00:00,1,30.00,Cash,0.00,3,Colorado Springs,2023-03-11 18:00:00
71,171,221,2023-03-12 20:00:00,4,120.00,Credit Card,15.00,2,Omaha,2023-03-12 19:00:00
72,172,222,2023-03-13 21:00:00,5,150.00,Cash,10.00,1,Raleigh,2023-03-13 20:00:00
73,173,223,2023-03-14 22:00:00,2,50.00,Credit Card,5.00,3,Miami,2023-03-14 21:00:00
74,174,224,2023-03-15 08:00:00,1,25.00,Cash,0.00,2,Virginia Beach,2023-03-15 07:00:00
75,175,225,2023-03-16 09:00:00,3,90.00,Credit Card,10.00,1,Atlanta,2023-03-16 08:00:00
76,176,226,2023-03-17 10:00:00,4,120.00,Cash,15.00,3,Colorado Springs,2023-03-17 09:00:00
77,177,227,2023-03-18 11:00:00,6,180.00,Credit Card,20.00,2,Omaha,2023-03-18 10:00:00
78,178,228,2023-03-19 12:00:00,2,60.00,Cash,5.00,1,Raleigh,2023-03-19 11:00:00
79,179,229,2023-03-20 13:00:00,3,90.00,Credit Card,10.00,3,Miami,2023-03-20 12:00:00
80,180,230,2023-03-21 14:00:00,1,30.00,Cash,0.00,2,Virginia Beach,2023-03-21 13:00:00
81,181,231,2023-03-22 15:00:00,4,120.00,Credit Card,15.00,1,Atlanta,2023-03-22 14:00:00
82,182,232,2023-03-23 16:00:00,5,150.00,Cash,10.00,3,Colorado Springs,2023-03-23 15:00:00
83,183,233,2023-03-24 17:00:00,2,50.00,Credit Card,5.00,2,Omaha,2023-03-24 16:00:00
84,184,234,2023-03-25 18:00:00,1,25.00,Cash,0.00,1,Raleigh,2023-03-25 17:00:00
85,185,235,2023-03-26 19:00:00,3,90.00,Credit Card,10.00,3,Miami,2023-03-26 18:00:00
86,186,236,2023-03-27 20:00:00,4,120.00,Cash,15.00,2,Virginia Beach,2023-03-27 19:00:00
87,187,237,2023-03-28 21:00:00,6,180.00,Credit Card,20.00,1,Atlanta,2023-03-28 20:00:00
88,188,238,2023-03-29 22:00:00,2,60.00,Cash,5.00,3,Colorado Springs,2023-03-29 21:00:00
89,189,239,2023-03-30 08:00:00,3,90.00,Credit Card,10.00,2,Omaha,2023-03-30 07:00:00
90,190,240,2023-03-31 09:00:00,1,30.00,Cash,0.00,1,Raleigh,2023-03-31 08:00:00
91,191,241,2023-04-01 10:00:00,4,120.00,Credit Card,15.00,3,Miami,2023-04-01 09:00:00
92,192,242,2023-04-02 11:00:00,5,150.00,Cash,10.00,2,Virginia Beach,2023-04-02 10:00:00
93,193,243,2023-04-03 12:00:00,2,50.00,Credit Card,5.00,1,Atlanta,2023-04-03 11:00:00
94,194,244,2023-04-04 13:00:00,1,25.00,Cash,0.00,3,Colorado Springs,2023-04-04 12:00:00
95,195,245,2023-04-05 14:00:00,3,90.00,Credit Card,10.00,2,Omaha,2023-04-05 13:00:00
96,196,246,2023-04-06 15:00:00,4,120.00,Cash,15.00,1,Raleigh,2023-04-06 14:00:00
97,197,247,2023-04-07 16:00:00,6,180.00,Credit Card,20.00,3,Miami,2023-04-07 15:00:00
98,198,248,2023-04-08 17:00:00,2,60.00,Cash,5.00,2,Virginia Beach,2023-04-08 16:00:00
99,199,249,2023-04-09 18:00:00,3,90.00,Credit Card,10.00,1,Atlanta,2023-04-09 17:00:00
100,200,250,2023-04-10 19:00:00,1,30.00,Cash,0.00,3,Colorado Springs,2023-04-10 18:00:00
101,201,201,2023-04-11 20:00:00,4,120.00,Credit Card,15.00,2,Omaha,2023-04-11 19:00:00
102,202,202,2023-04-12 21:00:00,5,150.00,Cash,10.00,1,Raleigh,2023-04-12 20:00:00
103,203,203,2023-04-13 22:00:00,2,50.00,Credit Card,5.00,3,Miami,2023-04-13 21:00:00
104,204,204,2023-04-14 08:00:00,1,25.00,Cash,0.00,2,Virginia Beach,2023-04-14 07:00:00
105,205,205,2023-04-15 09:00:00,3,90.00,Credit Card,10.00,1,Atlanta,2023-04-15 08:00:00
106,206,206,2023-04-16 10:00:00,4,120.00,Cash,15.00,3,Colorado Springs,2023-04-16 09:00:00
107,207,207,2023-04-17 11:00:00,6,180.00,Credit Card,20.00,2,Omaha,2023-04-17 10:00:00
108,208,208,2023-04-18 12:00:00,2,60.00,Cash,5.00,1,Raleigh,2023-04-18 11:00:00
109,209,209,2023-04-19 13:00:00,3,90.00,Credit Card,10.00,3,Miami,2023-04-19 12:00:00
110,210,210,2023-04-20 14:00:00,1,30.00,Cash,0.00,2,Virginia Beach,2023-04-20 13:00:00
111,211,211,2023-04-21 15:00:00,4,120.00,Credit Card,15.00,1,Atlanta,2023-04-21 14:00:00
112,212,212,2023-04-22 16:00:00,5,150.00,Cash,10.00,3,Colorado Springs,2023-04-22 15:00:00
113,213,213,2023-04-23 17:00:00,2,50.00,Credit Card,5.00,2,Omaha,2023-04-23 16:00:00
114,214,214,2023-04-24 18:00:00,1,25.00,Cash,0.00,1,Raleigh,2023-04-24 17:00:00
115,215,215,2023-04-25 19:00:00,3,90.00,Credit Card,10.00,3,Miami,2023-04-25 18:00:00
116,216,216,2023-04-26 20:00:00,4,120.00,Cash,15.00,2,Virginia Beach,2023-04-26 19:00:00
117,217,217,2023-04-27 21:00:00,6,180.00,Credit Card,20.00,1,Atlanta,2023-04-27 20:00:00
118,218,218,2023-04-28 22:00:00,2,60.00,Cash,5.00,3,Colorado Springs,2023-04-28 21:00:00
119,219,219,2023-04-29 08:00:00,3,90.00,Credit Card,10.00,2,Omaha,2023-04-29 07:00:00
120,220,220,2023-04-30 09:00:00,1,30.00,Cash,0.00,1,Raleigh,2023-04-30 08:00:00
121,221,221,2023-05-01 10:00:00,4,120.00,Credit Card,15.00,3,Miami,2023-05-01 09:00:00
122,222,222,2023-05-02 11:00:00,5,150.00,Cash,10.00,2,Virginia Beach,2023-05-02 10:00:00
123,223,223,2023-05-03 12:00:00,2,50.00,Credit Card,5.00,1,Atlanta,2023-05-03 11:00:00
124,224,224,2023-05-04 13:00:00,1,25.00,Cash,0.00,3,Colorado Springs,2023-05-04 12:00:00
125,225,225,2023-05-05 14:00:00,3,90.00,Credit Card,10.00,2,Omaha,2023-05-05 13:00:00
126,226,226,2023-05-06 15:00:00,4,120.00,Cash,15.00,1,Raleigh,2023-05-06 14:00:00
127,227,227,2023-05-07 16:00:00,6,180.00,Credit Card,20.00,3,Miami,2023-05-07 15:00:00
128,228,228,2023-05-08 17:00:00,2,60.00,Cash,5.00,2,Virginia Beach,2023-05-08 16:00:00
129,229,229,2023-05-09 18:00:00,3,90.00,Credit Card,10.00,1,Atlanta,2023-05-09 17:00:00
130,230,230,2023-05-10 19:00:00,1,30.00,Cash,0.00,3,Colorado Springs,2023-05-10 18:00:00
131,231,231,2023-05-11 20:00:00,4,120.00,Credit Card,15.00,2,Omaha,2023-05-11 19:00:00
132,232,232,2023-05-12 21:00:00,5,150.00,Cash,10.00,1,Raleigh,2023-05-12 20:00:00
133,233,233,2023-05-13 22:00:00,2,50.00,Credit Card,5.00,3,Miami,2023-05-13 21:00:00
134,234,234,2023-05-14 08:00:00,1,25.00,Cash,0.00,2,Virginia Beach,2023-05-14 07:00:00
135,235,235,2023-05-15 09:00:00,3,90.00,Credit Card,10.00,1,Atlanta,2023-05-15 08:00:00
136,236,236,2023-05-16 10:00:00,4,120.00,Cash,15.00,3,Colorado Springs,2023-05-16 09:00:00
137,237,237,2023-05-17 11:00:00,6,180.00,Credit Card,20.00,2,Omaha,2023-05-17 10:00:00
138,238,238,2023-05-18 12:00:00,2,60.00,Cash,5.00,1,Raleigh,2023-05-18 11:00:00
139,239,239,2023-05-19 13:00:00,3,90.00,Credit Card,10.00,3,Miami,2023-05-19 12:00:00
140,240,240,2023-05-20 14:00:00,1,30.00,Cash,0.00,2,Virginia Beach,2023-05-20 13:00:00
141,241,241,2023-05-21 15:00:00,4,120.00,Credit Card,15.00,1,Atlanta,2023-05-21 14:00:00
142,242,242,2023-05-22 16:00:00,5,150.00,Cash,10.00,3,Colorado Springs,2023-05-22 15:00:00
143,243,243,2023-05-23 17:00:00,2,50.00,Credit Card,5.00,2,Omaha,2023-05-23 16:00:00
144,244,244,2023-05-24 18:00:00,1,25.00,Cash,0.00,1,Raleigh,2023-05-24 17:00:00
145,245,245,2023-05-25 19:00:00,3,90.00,Credit Card,10.00,3,Miami,2023-05-25 18:00:00
146,246,246,2023-05-26 20:00:00,4,120.00,Cash,15.00,2,Virginia Beach,2023-05-26 19:00:00
147,247,247,2023-05-27 21:00:00,6,180.00,Credit Card,20.00,1,Atlanta,2023-05-27 20:00:00
148,248,248,2023-05-28 22:00:00,2,60.00,Cash,5.00,3,Colorado Springs,2023-05-28 21:00:00
149,249,249,2023-05-29 08:00:00,3,90.00,Credit Card,10.00,2,Omaha,2023-05-29 07:00:00
150,250,250,2023-05-30 09:00:00,1,30.00,Cash,0.00,1,Raleigh,2023-05-30 08:00:00
151,251,201,2023-05-31 10:00:00,2,50.00,Credit Card,5.00,1,Atlanta,2023-05-31 09:00:00
152,252,202,2023-06-01 11:00:00,1,30.00,Cash,0.00,2,Colorado Springs,2023-06-01 10:00:00
153,253,203,2023-06-02 12:00:00,5,150.00,Credit Card,10.00,3,Omaha,2023-06-02 11:00:00
154,254,204,2023-06-03 13:00:00,3,90.00,Cash,5.00,1,Raleigh,2023-06-03 12:00:00
155,255,205,2023-06-04 14:00:00,4,120.00,Credit Card,15.00,2,Miami,2023-06-04 13:00:00
156,256,206,2023-06-05 15:00:00,1,25.00,Cash,0.00,3,Virginia Beach,2023-06-05 14:00:00
157,257,207,2023-06-06 16:00:00,6,180.00,Credit Card,20.00,1,Atlanta,2023-06-06 15:00:00
158,258,208,2023-06-07 17:00:00,2,60.00,Cash,5.00,2,Colorado Springs,2023-06-07 16:00:00
159,259,209,2023-06-08 18:00:00,3,90.00,Credit Card,10.00,3,Omaha,2023-06-08 17:00:00
160,260,210,2023-06-09 19:00:00,1,30.00,Cash,0.00,1,Raleigh,2023-06-09 18:00:00
161,261,211,2023-06-10 20:00:00,4,120.00,Credit Card,15.00,2,Miami,2023-06-10 19:00:00
162,262,212,2023-06-11 21:00:00,5,150.00,Cash,10.00,3,Virginia Beach,2023-06-11 20:00:00
163,263,213,2023-06-12 22:00:00,2,50.00,Credit Card,5.00,1,Atlanta,2023-06-12 21:00:00
164,264,214,2023-06-13 08:00:00,1,25.00,Cash,0.00,2,Colorado Springs,2023-06-13 07:00:00
165,265,215,2023-06-14 09:00:00,3,90.00,Credit Card,10.00,3,Omaha,2023-06-14 08:00:00
166,266,216,2023-06-15 10:00:00,4,120.00,Cash,15.00,1,Raleigh,2023-06-15 09:00:00
167,267,217,2023-06-16 11:00:00,6,180.00,Credit Card,20.00,2,Miami,2023-06-16 10:00:00
168,268,218,2023-06-17 12:00:00,2,60.00,Cash,5.00,3,Virginia Beach,2023-06-17 11:00:00
169,269,219,2023-06-18 13:00:00,3,90.00,Credit Card,10.00,1,Atlanta,2023-06-18 12:00:00
170,270,220,2023-06-19 14:00:00,1,30.00,Cash,0.00,2,Colorado Springs,2023-06-19 13:00:00
171,271,221,2023-06-20 15:00:00,4,120.00,Credit Card,15.00,3,Omaha,2023-06-20 14:00:00
172,272,222,2023-06-21 16:00:00,5,150.00,Cash,10.00,1,Raleigh,2023-06-21 15:00:00
173,273,223,2023-06-22 17:00:00,2,50.00,Credit Card,5.00,2,Miami,2023-06-22 16:00:00
174,274,224,2023-06-23 18:00:00,1,25.00,Cash,0.00,3,Virginia Beach,2023-06-23 17:00:00
175,275,225,2023-06-24 19:00:00,3,90.00,Credit Card,10.00,1,Atlanta,2023-06-24 18:00:00
176,276,226,2023-06-25 20:00:00,4,120.00,Cash,15.00,2,Colorado Springs,2023-06-25 19:00:00
177,277,227,2023-06-26 21:00:00,6,180.00,Credit Card,20.00,3,Omaha,2023-06-26 20:00:00
178,278,228,2023-06-27 22:00:00,2,60.00,Cash,5.00,1,Raleigh,2023-06-27 21:00:00
179,279,229,2023-06-28 08:00:00,3,90.00,Credit Card,10.00,2,Miami,2023-06-28 07:00:00
180,280,230,2023-06-29 09:00:00,1,30.00,Cash,0.00,1,Virginia Beach,2023-06-29 08:00:00
181,281,231,2023-06-30 10:00:00,4,120.00,Credit Card,15.00,3,Atlanta,2023-06-30 09:00:00
182,282,232,2023-07-01 11:00:00,5,150.00,Cash,10.00,2,Colorado Springs,2023-07-01 10:00:00
183,283,233,2023-07-02 12:00:00,2,50.00,Credit Card,5.00,1,Omaha,2023-07-02 11:00:00
184,284,234,2023-07-03 13:00:00,1,25.00,Cash,0.00,3,Raleigh,2023-07-03 12:00:00
185,285,235,2023-07-04 14:00:00,3,90.00,Credit Card,10.00,2,Miami,2023-07-04 13:00:00
186,286,236,2023-07-05 15:00:00,4,120.00,Cash,15.00,1,Virginia Beach,2023-07-05 14:00:00
187,287,237,2023-07-06 16:00:00,6,180.00,Credit Card,20.00,3,Atlanta,2023-07-06 15:00:00
188,288,238,2023-07-07 17:00:00,2,60.00,Cash,5.00,2,Colorado Springs,2023-07-07 16:00:00
189,289,239,2023-07-08 18:00:00,3,90.00,Credit Card,10.00,1,Omaha,2023-07-08 17:00:00
190,290,240,2023-07-09 19:00:00,1,30.00,Cash,0.00,2,Raleigh,2023-07-09 18:00:00
191,291,241,2023-07-10 20:00:00,4,120.00,Credit Card,15.00,3,Miami,2023-07-10 19:00:00
192,292,242,2023-07-11 21:00:00,5,150.00,Cash,10.00,1,Virginia Beach,2023-07-11 20:00:00
193,293,243,2023-07-12 22:00:00,2,50.00,Credit Card,5.00,3,Atlanta,2023-07-12 21:00:00
194,294,244,2023-07-13 08:00:00,1,25.00,Cash,0.00,2,Colorado Springs,2023-07-13 07:00:00
195,295,245,2023-07-14 09:00:00,3,90.00,Credit Card,10.00,1,Omaha,2023-07-14 08:00:00
196,296,246,2023-07-15 10:00:00,4,120.00,Cash,15.00,3,Raleigh,2023-07-15 09:00:00
197,297,247,2023-07-16 11:00:00,6,180.00,Credit Card,20.00,2,Miami,2023-07-16 10:00:00
198,298,248,2023-07-17 12:00:00,2,60.00,Cash,5.00,1,Virginia Beach,2023-07-17 11:00:00
199,299,249,2023-07-18 13:00:00,3,90.00,Credit Card,10.00,3,Atlanta,2023-07-18 12:00:00
200,300,250,2023-07-19 14:00:00,1,30.00,Cash,0.00,2,Colorado Springs,2023-07-19 13:00:00
